ticker,liquidity_20d,momentum_90d,momentum_252d,FA_flag,liquidity_rank,momentum_rank,score
DPM,99591922175.0,0.36133344272808365,0.0,1,0.8300970873786407,0.8131067961165048,0.8216019417475728
IJC,97700645059.606,0.3633759935970369,0.0,1,0.8276699029126213,0.8155339805825242,0.8216019417475728
CDC,22414965095.0,0.6432748538011697,0.0,1,0.7038834951456311,0.9296116504854369,0.816747572815534
HSL,13217691037.5,2.5175879396984926,0.0,1,0.633495145631068,1.0,0.816747572815534
MWG,772351818485.0,0.24000306687781414,0.0,1,0.9733009708737864,0.6529126213592233,0.8131067961165048
OCB,135133312882.5,0.33535152220472453,0.0,1,0.8616504854368932,0.7621359223300971,0.8118932038834952
HCM,423542229375.0,0.2575375574326604,0.0,1,0.9393203883495146,0.6674757281553398,0.8033980582524272
KDH,221129324885.0,0.2855067360740362,0.0,1,0.8932038834951457,0.7063106796116505,0.7997572815533981
GEE,52058687105.0,0.37017723465801033,0.0,1,0.7742718446601942,0.8228155339805825,0.7985436893203883
NAF,25038762980.0,0.4898876404494381,0.0,1,0.7135922330097088,0.883495145631068,0.7985436893203883
HT1,19676412435.2725,0.5744489428699957,0.0,1,0.6844660194174758,0.912621359223301,0.7985436893203883
SJS,9371424030.0,1.172629104196433,0.0,1,0.5970873786407767,0.9902912621359223,0.7936893203883495
KHG,79391708821.5,0.3302063789868668,0.0,1,0.8228155339805825,0.7597087378640777,0.7912621359223301
VIB,421900459332.5,0.23423012615899075,0.0,1,0.9368932038834952,0.6432038834951457,0.7900485436893204
VAB,13783870710.0,0.6631387964922892,0.0,1,0.6383495145631068,0.941747572815534,0.7900485436893204
PET,73644159722.5,0.3398268398268398,0.0,1,0.8131067961165048,0.7669902912621359,0.7900485436893203
HHV,196238710600.0,0.27860346018886073,0.0,1,0.8883495145631068,0.6868932038834952,0.787621359223301
SBT,28886737372.5,0.36857142857142855,0.0,1,0.7281553398058253,0.8203883495145631,0.7742718446601942
DHC,16008188837.5,0.49906986378465024,0.0,1,0.662621359223301,0.8859223300970874,0.7742718446601942
HVN,72242460500.0,0.31478169023265945,0.0,1,0.8106796116504854,0.7330097087378641,0.7718446601941747
ACB,622198680187.5,0.18751910395008187,0.0,1,0.9587378640776699,0.5800970873786407,0.7694174757281553
MHC,7673349797.5,0.7200986436498151,0.0,1,0.5825242718446602,0.9563106796116505,0.7694174757281553
E1VFVN30,33242334371.0,0.35094185094185093,0.0,0,0.7402912621359223,0.7912621359223301,0.7657766990291262
CRE,15930243432.5,0.44217687074829937,0.0,1,0.6601941747572816,0.8713592233009708,0.7657766990291262
DGW,113395722877.5,0.2750674723204103,0.0,1,0.8470873786407767,0.6844660194174758,0.7657766990291262
KSB,67842939955.0,0.3109756097560976,0.0,1,0.8058252427184466,0.7233009708737864,0.7645631067961165
LCG,76923975177.5,0.2815126050420169,0.0,1,0.8155339805825242,0.6990291262135923,0.7572815533980582
HSG,241232884710.0,0.21003134796238254,0.0,1,0.8980582524271845,0.6116504854368932,0.7548543689320388
SMC,9857689410.0,0.5380952380952382,0.0,1,0.6043689320388349,0.9053398058252428,0.7548543689320388
HHS,100585313295.0,0.26515151515151514,0.0,1,0.8349514563106796,0.6723300970873787,0.7536407766990292
VGC,80437421660.0,0.2717391304347827,0.0,1,0.8252427184466019,0.6820388349514563,0.7536407766990292
VRE,172469866135.0,0.21946169772256718,0.0,1,0.8810679611650486,0.6237864077669902,0.7524271844660194
VNE,4267052419.5,0.75,0.0,1,0.5315533980582524,0.9635922330097088,0.7475728155339806
NLG,150671779295.0,0.2159286655182895,0.0,1,0.8713592233009708,0.6189320388349514,0.7451456310679612
POW,247376437620.0,0.19066147859922178,0.0,1,0.9029126213592233,0.587378640776699,0.7451456310679612
PVD,188678423922.5,0.20052770448548807,0.0,1,0.8859223300970874,0.6019417475728155,0.7439320388349515
TNI,2877761692.0,1.3133640552995391,0.0,1,0.49271844660194175,0.9927184466019418,0.7427184466019418
HAR,7800597640.0,0.5197568389057752,0.0,1,0.5849514563106796,0.8980582524271845,0.741504854368932
JVC,6054964876.0,0.5584677419354838,0.0,1,0.5679611650485437,0.9101941747572816,0.7390776699029127
C47,3615458211.5,0.727405247813411,0.0,1,0.5121359223300971,0.9587378640776699,0.7354368932038835
NT2,36437366720.0,0.2880434782608696,0.0,1,0.7524271844660194,0.7111650485436893,0.7317961165048543
HAG,249025177312.5,0.16666666666666674,0.0,1,0.9053398058252428,0.5461165048543689,0.7257281553398058
VCI,519084738787.5,0.12401055408970985,0.0,1,0.9490291262135923,0.4975728155339806,0.7233009708737864
TCI,15367146700.0,0.34824667472793225,0.0,1,0.6577669902912622,0.7864077669902912,0.7220873786407767
PC1,108157843037.5,0.19550561797752808,0.0,1,0.8446601941747572,0.5970873786407767,0.720873786407767
NNC,2129862727.5,0.8720550191464085,0.0,1,0.46601941747572817,0.9733009708737864,0.7196601941747574
DCM,149277042217.5,0.18092600887730592,0.0,1,0.8689320388349514,0.5703883495145631,0.7196601941747572
DSE,52243090327.5,0.24528301886792447,0.0,1,0.7766990291262136,0.6553398058252428,0.7160194174757282
QCG,20306346322.5,0.3187772925764192,0.0,1,0.6893203883495146,0.7427184466019418,0.7160194174757282
TNT,2061636959.5,0.7633262260127931,0.0,1,0.4563106796116505,0.9684466019417476,0.712378640776699
IDI,17152120903.5,0.3206349206349206,0.0,1,0.6699029126213593,0.7475728155339806,0.7087378640776699
CSM,26150868822.5,0.2695935442716557,0.0,1,0.7184466019417476,0.6771844660194175,0.6978155339805825
FUEVFVND,30644392226.0,0.24613959234095129,0.0,0,0.7354368932038835,0.6577669902912622,0.6966019417475728
CTI,34766216945.0,0.23587223587223582,0.0,1,0.7475728155339806,0.6456310679611651,0.6966019417475728
FCN,47925882867.5,0.22033898305084754,0.0,1,0.7669902912621359,0.6262135922330098,0.6966019417475728
AGR,44236561647.5,0.22412413576152135,0.0,1,0.7621359223300971,0.6310679611650486,0.6966019417475728
FUEMAV30,10571129241.5,0.344378698224852,0.0,0,0.6092233009708737,0.7766990291262136,0.6929611650485437
NTL,33999484600.0,0.2259136212624584,0.0,1,0.7427184466019418,0.6359223300970874,0.6893203883495146
HAH,137053553995.0,0.1332038647917808,0.0,1,0.8640776699029126,0.5145631067961165,0.6893203883495145
VHC,106325767880.0,0.1576994434137291,0.0,1,0.8398058252427184,0.5364077669902912,0.6881067961165048
HPX,18319896133.0,0.28125,0.0,1,0.6771844660194175,0.6941747572815534,0.6856796116504855
DHA,4779552052.801001,0.3921036220543679,0.0,1,0.5388349514563107,0.8325242718446602,0.6856796116504854
BIC,10755609896.48,0.32223162475822065,0.0,1,0.6140776699029126,0.75,0.6820388349514563
VCB,668119986345.0,0.0732538330494037,0.0,1,0.9684466019417476,0.3907766990291262,0.6796116504854369
ITC,5706394112.5,0.35416666666666674,0.0,1,0.5558252427184466,0.8009708737864077,0.6783980582524272
VNM,356596417320.0,0.09154929577464799,0.0,1,0.9199029126213593,0.42961165048543687,0.6747572815533981
DBC,243952414665.0,0.10245159901004985,0.0,1,0.9004854368932039,0.44902912621359226,0.6747572815533981
PHR,23454241813.667,0.22925629993853724,0.0,1,0.7087378640776699,0.6383495145631068,0.6735436893203883
DSC,6928475127.5,0.3418530351437701,0.0,1,0.5752427184466019,0.7694174757281553,0.6723300970873787
AGG,17831521430.0,0.26265822784810133,0.0,1,0.6747572815533981,0.6699029126213593,0.6723300970873787
ICT,2351851942.5,0.4340429391213889,0.0,1,0.470873786407767,0.8616504854368932,0.6662621359223301
FUESSVFL,2437493450.5,0.41630901287553645,0.0,0,0.47572815533980584,0.8543689320388349,0.6650485436893203
YEG,40920978995.0,0.17647058823529416,0.0,1,0.7597087378640777,0.5655339805825242,0.662621359223301
DLG,9214294593.5,0.31415929203539816,0.0,1,0.5946601941747572,0.7305825242718447,0.662621359223301
FUEVN100,2680063418.5,0.4009009009009008,0.0,0,0.4854368932038835,0.837378640776699,0.6614077669902912
ABT,1156607840.0,0.6000000000000001,0.0,1,0.4029126213592233,0.9174757281553398,0.6601941747572816
TEG,2038358054.0,0.4385633270321361,0.0,1,0.4538834951456311,0.866504854368932,0.6601941747572815
BID,385165887110.0,0.06417112299465244,0.0,1,0.9296116504854369,0.3762135922330097,0.6529126213592233
SAM,13112933070.0,0.26917057902973407,0.0,1,0.6286407766990292,0.6747572815533981,0.6516990291262137
VPI,148148639560.0,0.0950413223140496,0.0,1,0.866504854368932,0.4368932038834951,0.6516990291262136
TN1,1072221280.0,0.5445317985564724,0.0,1,0.3907766990291262,0.9077669902912622,0.6492718446601942
BVH,34205857030.0,0.16733870967741926,0.0,1,0.7451456310679612,0.5509708737864077,0.6480582524271845
TTF,6027306166.0,0.3019607843137255,0.0,1,0.5655339805825242,0.7184466019417476,0.6419902912621359
BSI,77179713730.0,0.10694361971027289,0.0,1,0.8179611650485437,0.4563106796116505,0.6371359223300971
HTN,15109657370.0,0.2171052631578947,0.0,1,0.6529126213592233,0.6213592233009708,0.6371359223300971
NHA,21554674725.0,0.1810941798416117,0.0,1,0.6966019417475728,0.5728155339805825,0.6347087378640777
HQC,25812298871.5,0.1609907120743035,0.0,1,0.7160194174757282,0.5412621359223301,0.6286407766990292
TVB,3142628230.0,0.326975476839237,0.0,1,0.5,0.7548543689320388,0.6274271844660194
CMG,35706397762.5,0.12569060773480656,0.0,1,0.75,0.5,0.625
